,Unnamed: 0.1,Unnamed: 0,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId,milliseconds_numeric
6279,6279,24380,24386,1019,1,131,44,2,1,1,1,26.0,52,1:21:08.452,4868452,52,1,1:27.369,242.735,1,4868452
6280,6280,24381,24387,1019,822,131,77,1,2,2,2,18.0,52,+24.928,4893380,47,2,1:27.406,242.633,1,4893380
6281,6281,24382,24388,1019,844,6,16,3,3,3,3,15.0,52,+30.117,4898569,47,5,1:29.313,237.452,1,4898569
6282,6282,24383,24389,1019,842,9,10,5,4,4,4,12.0,52,+34.692,4903144,48,8,1:29.544,236.839,1,4903144
6283,6283,24384,24390,1019,830,9,33,4,5,5,5,10.0,52,+39.458,4907910,45,4,1:29.272,237.561,1,4907910
6284,6284,24385,24391,1019,832,1,55,13,6,6,6,8.0,52,+53.639,4922091,50,11,1:29.757,236.277,1,4922091
6285,6285,24386,24392,1019,817,4,3,7,7,7,7,6.0,52,+54.401,4922853,50,9,1:29.624,236.628,1,4922853
6286,6286,24387,24393,1019,8,51,7,12,8,8,8,4.0,52,+1:05.540,4933992,51,14,1:30.034,235.551,1,4933992
6287,6287,24388,24394,1019,826,5,26,17,9,9,9,2.0,52,+1:06.720,4935172,51,12,1:29.910,235.875,1,4935172
6288,6288,24389,24395,1019,807,4,27,10,10,10,10,1.0,52,+1:12.733,4941185,51,13,1:29.949,235.773,1,4941185
6289,6289,24390,24396,1019,846,1,4,8,11,11,11,0.0,52,+1:14.281,4942733,50,10,1:29.636,236.596,1,4942733
6290,6290,24391,24397,1019,848,5,23,9,12,12,12,0.0,52,+1:15.617,4944069,46,15,1:30.872,233.378,1,4944069
6291,6291,24392,24398,1019,840,211,18,18,13,13,13,0.0,52,+1:21.086,4949538,49,6,1:29.390,237.248,1,4949538
6292,6292,24400,24406,1020,830,9,33,2,1,1,1,26.0,64,1:44:31.275,6271275,61,1,1:16.645,214.839,1,6271275
6293,6293,24401,24407,1020,20,6,5,20,2,2,2,18.0,64,+7.333,6278608,63,2,1:16.794,214.423,1,6278608
6294,6294,24402,24408,1020,826,5,26,14,3,3,3,15.0,64,+8.305,6279580,61,6,1:17.708,211.900,1,6279580
6295,6295,24403,24409,1020,840,211,18,15,4,4,4,12.0,64,+8.966,6280241,61,8,1:17.831,211.566,1,6280241
6296,6296,24404,24410,1020,832,1,55,7,5,5,5,10.0,64,+9.583,6280858,63,9,1:17.841,211.538,1,6280858
6297,6297,24405,24411,1020,848,5,23,16,6,6,6,8.0,64,+10.052,6281327,63,10,1:17.850,211.514,1,6281327
6298,6298,24406,24412,1020,154,210,8,6,7,7,7,6.0,64,+16.838,6288113,55,7,1:17.746,211.797,1,6288113
